primitive_instance,display_name,count,time,eval_direct
"/phylanx/constant$3/2$14$30","constant(14, 30)",1,607433,-1
"/phylanx/cout$0/2$19$39","cout(19, 39)",0,0,-1
"/phylanx/define-function$0$read_x/0$5$12","define-function/read_x(5, 12)",1,14138,-1
"/phylanx/define-function$1$read_y/1$5$12","define-function/read_y(5, 12)",1,9622,-1
"/phylanx/define-function$2$lra/2$8$12","define-function/lra(8, 12)",1,9448,-1
"/phylanx/define-variable$0$weights/2$10$20","define-variable/weights(10, 20)",1502,537938661,0
"/phylanx/define-variable$1$transx/2$11$20","define-variable/transx(11, 20)",751,242011279,0
"/phylanx/define-variable$2$pred/2$12$20","define-variable/pred(12, 20)",751,290979682,0
"/phylanx/define-variable$3$error/2$13$20","define-variable/error(13, 20)",751,238721358,0
"/phylanx/define-variable$4$gradient/2$14$20","define-variable/gradient(14, 20)",751,237588757,0
"/phylanx/define-variable$5$step/2$15$20","define-variable/step(15, 20)",1502,796526711,0
"/phylanx/dot$0/2$21$51","dot(21, 51)",750,10497556075,0
"/phylanx/dot$1/2$23$37","dot(23, 37)",750,20148577750,0
"/phylanx/exp$0/2$21$46","exp(21, 46)",750,30231565735,0
"/phylanx/file_read_csv$0/0$6$15","file_read_csv(6, 15)",1,13774053,-1
"/phylanx/file_read_csv$1/1$6$15","file_read_csv(6, 15)",1,12766871,-1
"/phylanx/if$0/2$19$21","if(19, 21)",750,297253617,0
"/phylanx/parallel_block$0/2$24$21","parallel_block(24, 21)",750,68291897106,0
"/phylanx/shape$0/2$10$43","shape(10, 43)",1,389235,-1
"/phylanx/shape$1/2$12$40","shape(12, 40)",1,377405,-1
"/phylanx/shape$2/2$13$41","shape(13, 41)",1,337382,-1
"/phylanx/shape$3/2$14$44","shape(14, 44)",1,349648,-1
"/phylanx/slice$0/0$6$9","slice(6, 9)",1,15038514,-1
"/phylanx/slice$1/1$6$9","slice(6, 9)",1,13449862,-1
"/phylanx/store$0/2$21$21","store(21, 21)",750,77850324165,0
"/phylanx/store$1/2$22$21","store(22, 21)",750,58437733687,0
"/phylanx/store$2/2$23$21","store(23, 21)",750,58473538056,0
"/phylanx/store$3/2$25$25","store(25, 25)",750,58412929075,0
"/phylanx/store$4/2$26$25","store(26, 25)",750,39153193701,0
"/phylanx/transpose$0/2$11$28","transpose(11, 28)",1,549713,-1
"/phylanx/variable$0$weights/2$10$20","variable/weights(10, 20)",1502,23986689,1
"/phylanx/variable$1$transx/2$11$20","variable/transx(11, 20)",751,13336831,1
"/phylanx/variable$2$pred/2$12$20","variable/pred(12, 20)",751,12524499,1
"/phylanx/variable$3$error/2$13$20","variable/error(13, 20)",751,12363932,1
"/phylanx/variable$4$gradient/2$14$20","variable/gradient(14, 20)",751,12171241,1
"/phylanx/variable$5$step/2$15$20","variable/step(15, 20)",1502,20598641,1
"/phylanx/while$0/2$16$13","while(16, 13)",1,349829950309,-1
