primitive_instance,display_name,count,time,eval_direct
"/phylanx/__add$0/1$6$71","add(6, 71)",1,526580,-1
"/phylanx/__add$1/2$21$40","add(21, 40)",750,40071501569,0
"/phylanx/__add$2/2$26$37","add(26, 37)",750,10558452890,0
"/phylanx/__div$0/2$21$33","div(21, 33)",750,49906413562,0
"/phylanx/__lt$0/2$17$17","lt(17, 17)",751,19947601747,0
"/phylanx/__minus$0/2$21$51","minus(21, 51)",750,20376295974,0
"/phylanx/__mul$0/2$25$51","mul(25, 51)",750,10119127903,0
"/phylanx/__sub$0/2$22$34","sub(22, 34)",750,19960955183,0
"/phylanx/__sub$1/2$25$40","sub(25, 40)",750,20084561599,0
"/phylanx/access-argument$0$filepath/0$6$29","access-argument/filepath(6, 29)",1,7020,1
"/phylanx/access-argument$1$row_start/0$6$40","access-argument/row_start(6, 40)",1,6891,1
"/phylanx/access-argument$10$x/2$10$49","access-argument/x(10, 49)",1,30141,1
"/phylanx/access-argument$11$x/2$11$38","access-argument/x(11, 38)",1,17580,1
"/phylanx/access-argument$12$x/2$12$46","access-argument/x(12, 46)",1,20702,1
"/phylanx/access-argument$13$x/2$13$47","access-argument/x(13, 47)",1,17362,1
"/phylanx/access-argument$14$x/2$14$50","access-argument/x(14, 50)",1,20525,1
"/phylanx/access-argument$15$iterations/2$17$24","access-argument/iterations(17, 24)",751,4187614,1
"/phylanx/access-argument$16$enable_output/2$19$24","access-argument/enable_output(19, 24)",750,9284865,1
"/phylanx/access-argument$17$x/2$21$55","access-argument/x(21, 55)",750,13020643,1
"/phylanx/access-argument$18$y/2$22$41","access-argument/y(22, 41)",750,10270396,1
"/phylanx/access-argument$19$alpha/2$25$51","access-argument/alpha(25, 51)",750,9507087,1
"/phylanx/access-argument$2$row_stop/0$6$51","access-argument/row_stop(6, 51)",1,5656,1
"/phylanx/access-argument$3$col_start/0$6$61","access-argument/col_start(6, 61)",1,5964,1
"/phylanx/access-argument$4$col_stop/0$6$72","access-argument/col_stop(6, 72)",1,5459,1
"/phylanx/access-argument$5$filepath/1$6$29","access-argument/filepath(6, 29)",1,6218,1
"/phylanx/access-argument$6$row_start/1$6$40","access-argument/row_start(6, 40)",1,5454,1
"/phylanx/access-argument$7$row_stop/1$6$51","access-argument/row_stop(6, 51)",1,5229,1
"/phylanx/access-argument$8$col_stop/1$6$61","access-argument/col_stop(6, 61)",1,5345,1
"/phylanx/access-argument$9$col_stop/1$6$71","access-argument/col_stop(6, 71)",1,6004,1
"/phylanx/access-variable$0$step/2$17$17","access-variable/step(17, 17)",751,10083475920,0
"/phylanx/access-variable$1$step/2$19$54","access-variable/step(19, 54)",0,0,1
"/phylanx/access-variable$10$weights/2$25$31","access-variable/weights(25, 31)",0,0,1
"/phylanx/access-variable$11$weights/2$25$40","access-variable/weights(25, 40)",750,10144756111,0
"/phylanx/access-variable$12$gradient/2$25$59","access-variable/gradient(25, 59)",750,517225422,0
"/phylanx/access-variable$13$step/2$26$31","access-variable/step(26, 31)",0,0,1
"/phylanx/access-variable$14$step/2$26$37","access-variable/step(26, 37)",750,10279547670,0
"/phylanx/access-variable$15$weights/2$30$13","access-variable/weights(30, 13)",1,889327,1
"/phylanx/access-variable$2$weights/2$19$66","access-variable/weights(19, 66)",0,0,1
"/phylanx/access-variable$3$pred/2$21$27","access-variable/pred(21, 27)",0,0,1
"/phylanx/access-variable$4$weights/2$21$58","access-variable/weights(21, 58)",750,9783870235,0
"/phylanx/access-variable$5$error/2$22$27","access-variable/error(22, 27)",0,0,1
"/phylanx/access-variable$6$pred/2$22$34","access-variable/pred(22, 34)",750,10114583738,0
"/phylanx/access-variable$7$gradient/2$23$27","access-variable/gradient(23, 27)",0,0,1
"/phylanx/access-variable$8$transx/2$23$41","access-variable/transx(23, 41)",750,10029508118,0
"/phylanx/access-variable$9$error/2$23$49","access-variable/error(23, 49)",750,9944387607,0
"/phylanx/block$0/0$1$1","block(1, 1)",1,1122840,-1
"/phylanx/block$1/1$1$1","block(1, 1)",1,738600,-1
"/phylanx/block$2/2$1$1","block(1, 1)",1,735590,-1
"/phylanx/block$3/2$9$9","block(9, 9)",1,349840475344,-1
"/phylanx/block$4/2$18$17","block(18, 17)",750,311289608418,0
"/phylanx/call-function$0$read_x/0$8$5","call-function/read_x(8, 5)",1,476516,-1
"/phylanx/call-function$1$read_y/1$8$5","call-function/read_y(8, 5)",1,388976,-1
"/phylanx/call-function$2$lra/2$33$5","call-function/lra(33, 5)",1,722929000000,-1
"/phylanx/constant$0/2$10$29","constant(10, 29)",1,707229,-1
"/phylanx/constant$1/2$12$26","constant(12, 26)",1,645526,-1
"/phylanx/constant$2/2$13$27","constant(13, 27)",1,716112,-1
